tempo, ref, theta
9.567000, 0.000000, -7.064316
9.577000, 0.000000, -7.066147
9.587000, 0.000000, -7.068301
9.597000, 0.000000, -7.068307
9.607000, 0.000000, -7.070457
9.617000, 0.000000, -7.071959
9.627000, 0.000000, -7.074369
9.637000, 0.000000, -7.074970
9.647000, 0.000000, -7.079217
9.657000, 0.000000, -7.079823
9.667000, 0.000000, -7.081666
9.677000, 0.000000, -7.081348
9.687000, 0.000000, -7.084363
9.697000, 0.000000, -7.085531
9.707000, 0.000000, -7.084930
9.717000, 0.000000, -7.087325
9.727000, 0.000000, -7.089119
9.737000, 0.000000, -7.089738
9.747000, 0.000000, -7.091255
9.757000, 0.000000, -7.094885
9.767000, 0.000000, -7.096390
9.777000, 0.000000, -7.098837
9.787000, 0.000000, -7.103079
9.797000, 0.000000, -7.106134
9.807000, 0.000000, -7.109797
9.817000, 0.000000, -7.112547
9.827000, 0.000000, -7.118039
9.837000, 0.000000, -7.121110
9.847000, 0.000000, -7.125403
9.857000, 0.000000, -7.129367
9.867000, 0.000000, -7.132036
9.877000, 0.000000, -7.135073
9.887000, 0.000000, -7.136536
9.897000, 0.000000, -7.139555
9.907000, 0.000000, -7.141666
9.917000, 0.000000, -7.141689
9.927000, 0.000000, -7.143167
9.937000, 0.000000, -7.145288
9.947000, 0.000000, -7.145876
9.957000, 0.000000, -7.147657
9.967000, 0.000000, -7.148896
9.977000, 0.000000, -7.149529
9.987000, 0.000000, -7.150103
9.997000, 0.000000, -7.151917
10.007000, 0.000000, -7.153430
10.017000, 0.000000, -7.154916
10.027000, 0.000000, -7.155787
10.037000, 0.000000, -7.157296
10.047000, 0.000000, -7.158832
10.059000, 0.000000, -7.158227
10.067000, 0.000000, -7.159175
10.077000, 0.000000, -7.161917
10.087000, 0.000000, -7.163415
10.097000, 0.000000, -7.164644
10.107000, 0.000000, -7.166801
10.117000, 0.000000, -7.169255
10.127000, 0.000000, -7.169853
10.137000, 0.000000, -7.171978
10.147000, 0.000000, -7.173132
10.157000, 0.000000, -7.175559
10.167000, 0.000000, -7.176784
10.177000, 0.000000, -7.180165
10.187000, 0.000000, -7.178928
10.197000, 0.000000, -7.180423
10.207000, 0.000000, -7.181907
10.217000, 0.000000, -7.183383
10.227000, 0.000000, -7.184028
10.238000, 0.000000, -7.185264
10.247000, 0.000000, -7.186482
10.257000, 0.000000, -7.187054
10.267000, 0.000000, -7.189466
10.277000, 0.000000, -7.191290
10.287000, 0.000000, -7.191954
10.297000, 0.000000, -7.193158
10.307000, 0.000000, -7.195887
10.317000, 0.000000, -7.197092
10.327000, 0.000000, -7.200105
10.337000, 0.000000, -7.204069
10.347000, 0.000000, -7.205250
10.357000, 0.000000, -7.208286
10.367000, 0.000000, -7.210433
10.377000, 0.000000, -7.211646
10.387000, 0.000000, -7.214691
10.397000, 0.000000, -7.216791
10.407000, 0.000000, -7.217104
10.417000, 0.000000, -7.218964
10.427000, 0.000000, -7.220478
10.437000, 0.000000, -7.221653
10.447000, 0.000000, -7.219153
10.456000, 0.000000, -7.218822
10.467000, 0.000000, -7.220653
10.476000, 0.000000, -7.219440
10.487000, 0.000000, -7.220677
10.496000, 0.000000, -7.219149
10.507000, 0.000000, -7.218543
10.516000, 0.000000, -7.219129
10.527000, 0.000000, -7.218228
10.536000, 0.000000, -7.218520
10.547000, 0.000000, -7.218503
10.556000, 0.000000, -7.220003
10.566000, 0.000000, -7.222130
10.576000, 0.000000, -7.225496
10.587000, 0.000000, -7.227658
10.596000, 0.000000, -7.230403
10.607000, 0.000000, -7.232225
10.616000, 0.000000, -7.235874
10.626000, 0.000000, -7.238304
10.636000, 0.000000, -7.240153
10.646000, 0.000000, -7.240504
10.657000, 0.000000, -7.242655
10.666000, 0.000000, -7.242627
10.676000, 0.000000, -7.242024
10.686000, 0.000000, -7.244142
10.696000, 0.000000, -7.246532
10.707000, 0.000000, -7.247757
10.716000, 0.000000, -7.249888
10.726000, 0.000000, -7.249571
10.736000, 0.000000, -7.251694
10.746000, 0.000000, -7.253836
10.756000, 0.000000, -7.255665
10.766000, 0.000000, -7.256557
10.776000, 0.000000, -7.259272
10.786000, 0.000000, -7.262001
10.796000, 0.000000, -7.263830
10.806000, 0.000000, -7.265643
10.816000, 0.000000, -7.265277
10.826000, 0.000000, -7.266774
10.836000, 0.000000, -7.267066
10.846000, 0.000000, -7.268933
10.856000, 0.000000, -7.272001
10.866000, 0.000000, -7.275018
10.876000, 0.000000, -7.276238
10.886000, 0.000000, -7.278394
10.897000, 0.000000, -7.280227
10.906000, 0.000000, -7.280848
10.916000, 0.000000, -7.284179
10.926000, 0.000000, -7.286285
10.936000, 0.000000, -7.288998
10.947000, 0.000000, -7.291730
10.956000, 0.000000, -7.294751
10.966000, 0.000000, -7.297183
10.976000, 0.000000, -7.299625
10.986000, 0.000000, -7.302036
10.996000, 0.000000, -7.304786
11.006000, 0.000000, -7.307822
11.016000, 0.000000, -7.309656
11.026000, 0.000000, -7.313584
11.036000, 0.000000, -7.317268
11.046000, 0.000000, -7.317884
11.056000, 0.000000, -7.320640
11.066000, 0.000000, -7.324927
11.076000, 0.000000, -7.327928
11.086000, 0.000000, -7.330050
11.096000, 0.000000, -7.332458
11.106000, 0.000000, -7.334625
11.116000, 0.000000, -7.338291
11.127000, 0.000000, -7.341316
11.136000, 0.000000, -7.344946
11.146000, 0.000000, -7.348898
11.156000, 0.000000, -7.351022
11.166000, 0.000000, -7.353704
11.176000, 0.000000, -7.357693
11.186000, 0.000000, -7.360437
11.196000, 0.000000, -7.362898
11.206000, 0.000000, -7.364732
11.216000, 0.000000, -7.367128
11.226000, 0.000000, -7.370155
11.236000, 0.000000, -7.370144
11.246000, 0.000000, -7.371691
11.256000, 0.000000, -7.373791
11.266000, 0.000000, -7.376222
11.276000, 0.000000, -7.377679
