Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
79500, 7.428352, 0.000000
79600, 7.423516, 0.000000
79700, 7.423516, 0.000000
79800, 7.423516, 0.000000
79900, 7.423516, 0.000000
80000, 7.438022, 0.000000
80100, 7.438022, 0.000000
80200, 7.438022, 0.000000
80300, 7.433187, 0.000000
80400, 7.438022, 0.000000
80500, 7.423516, 0.000000
80600, 7.423516, 0.000000
80700, 7.423516, 0.000000
80800, 7.423516, 0.000000
80900, 7.428352, 0.000000
81000, 7.423516, 0.000000
81100, 7.423516, 0.000000
81200, 7.423516, 0.000000
81300, 7.423516, 0.000000
81400, 7.423516, 0.000000
81500, 7.423516, 0.000000
81600, 7.423516, 0.000000
81700, 7.423516, 0.000000
81800, 7.423516, 0.000000
81900, 7.423516, 0.000000
82000, 7.433187, 0.000000
82100, 7.438022, 0.000000
82200, 7.438022, 0.000000
82300, 7.438022, 0.000000
82400, 7.438022, 0.000000
82500, 7.428352, 0.000000
82600, 7.423516, 0.000000
82700, 7.423516, 0.000000
82800, 7.423516, 0.000000
82900, 7.423516, 0.000000
83000, 7.423516, 0.000000
83100, 7.423516, 0.000000
83200, 7.423516, 0.000000
83300, 7.423516, 0.000000
83400, 7.423516, 0.000000
83500, 7.423516, 0.000000
83600, 7.413846, 0.000000
83700, 7.423516, 0.000000
83800, 7.423516, 0.000000
83900, 7.423516, 0.000000
84000, 7.438022, 0.000000
84100, 7.433187, 0.000000
84200, 7.438022, 0.000000
84300, 7.438022, 0.000000
84400, 7.433187, 0.000000
84500, 7.423516, 0.000000
84600, 7.423516, 0.000000
84700, 7.423516, 0.000000
84800, 7.428352, 0.000000
84900, 7.418681, 0.000000
85000, 7.423516, 0.000000
85100, 7.423516, 0.000000
85200, 7.423516, 0.000000
85300, 7.428352, 0.000000
85400, 7.423516, 0.000000
85500, 7.428352, 0.000000
85600, 7.423516, 0.000000
85700, 7.423516, 0.000000
85800, 7.423516, 0.000000
85900, 7.423516, 0.000000
86000, 7.438022, 0.000000
86100, 7.438022, 0.000000
86200, 7.438022, 0.000000
86300, 7.438022, 0.000000
86400, 7.442857, 0.000000
86500, 7.423516, 0.000000
86600, 7.418681, 0.000000
86700, 7.423516, 0.000000
86800, 7.423516, 0.000000
86900, 7.423516, 0.000000
87000, 7.428352, 0.000000
87100, 7.423516, 0.000000
87200, 7.423516, 0.000000
87300, 7.423516, 0.000000
87400, 7.423516, 0.000000
87500, 7.423516, 0.000000
87600, 7.423516, 0.000000
87700, 7.423516, 0.000000
87800, 7.423516, 0.000000
87900, 7.423516, 0.000000
88000, 7.433187, 0.000000
88100, 7.438022, 0.000000
88200, 7.438022, 0.000000
88300, 7.438022, 0.000000
88400, 7.438022, 0.000000
88500, 7.423516, 0.000000
88600, 7.423516, 0.000000
88700, 7.423516, 0.000000
88800, 7.428352, 0.000000
88900, 7.423516, 0.000000
89000, 7.423516, 0.000000
89100, 7.428352, 0.000000
89200, 7.423516, 0.000000
89300, 7.428352, 0.000000
89400, 7.423516, 0.000000
89500, 7.423516, 0.000000
89600, 7.423516, 0.000000
89700, 7.423516, 0.000000
89800, 7.423516, 0.000000
89900, 7.423516, 0.000000
90000, 7.438022, 0.000000
90100, 7.438022, 0.000000
90200, 7.433187, 0.000000
90300, 7.433187, 0.000000
90400, 7.438022, 0.000000
90500, 7.423516, 0.000000
90600, 7.423516, 0.000000
90700, 7.423516, 0.000000
90800, 7.423516, 0.000000
90900, 7.428352, 0.000000
91000, 7.423516, 0.000000
91100, 7.423516, 0.000000
91200, 7.413846, 0.000000
91300, 7.423516, 0.000000
91400, 7.423516, 0.000000
91500, 7.423516, 0.000000
91600, 7.423516, 0.000000
91700, 7.423516, 0.000000
91800, 7.423516, 0.000000
91900, 7.423516, 0.000000
92000, 7.433187, 0.000000
92100, 7.438022, 0.000000
92200, 7.438022, 0.000000
